OBJECT_NAME,OBJECT_ID,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,COUNTRY_CODE,LAUNCH_DATE,SITE,RCS_SIZE,TLE_LINE1,TLE_LINE2
"VANGUARD R/B","1959-001B","125.831","3323.438","556.292","ROCKET BODY","US","1959-02-17","AFETR","MEDIUM","1    12U 59001B   21272.05490055  .00000276  00000-0  16827-3 0  9992","2    12  32.8965 151.2901 1663348  19.7890 346.0157 11.44390804576257"
"VANGUARD R/B","1958-002A","137.304","4226.313","649.876","ROCKET BODY","US","1958-03-17","AFETR","MEDIUM","1 00016U 58002A   21271.57634002  .00000184  00000-0  27881-3 0  9994","2 00016  34.2609 243.0673 2028326  51.4629 325.1024 10.48765638507982"
"THOR ABLESTAR R/B","1960-007C","99.849","916.977","585.678","ROCKET BODY","US","1960-06-22","AFETR","LARGE","1    47U 60007C   21272.44839451  .00000035  00000-0  32726-4 0  9998","2    47  66.6674 340.9118 0232345 318.6790  39.6931 14.42173662202749"
"DELTA 1 R/B","1960-009B","118.021","1682.496","1501.575","ROCKET BODY","US","1960-08-12","AFETR","MEDIUM","1 00050U 60009B   21271.22378924 -.00000131  00000-0 -44043-3 0  9995","2 00050  47.2302 109.4648 0113499 279.8509  78.9482 12.20116676727336"
"ECHO 1 DEB (METAL OBJ)","1960-009C","118.200","1685.032","1515.111","DEBRIS","US","1960-08-12","AFETR","MEDIUM","1 00051U 60009C   21271.44169831 -.00000149  00000-0 -61303-3 0  9992","2 00051  47.2151 339.5821 0106491 115.4066 245.7789 12.18273651721146"
"ECHO 1 DEB (MYLAR OBJ)","1960-009D","118.257","2724.756","480.558","DEBRIS","US","1960-08-12","AFETR","MEDIUM","1 00052U 60009D   76059.20960648 +.00000225 +00000-0 +10000-3 0  9997","2 00052 047.1450 002.7500 1406000 181.1400 000.0000 12.17682743007435"
"ECHO 1 DEB (METAL OBJ)","1960-009E","118.298","1683.150","1525.838","DEBRIS","US","1960-08-12","AFETR","MEDIUM","1 00053U 60009E   21271.21313631 -.00000077  00000-0  80193-4 0  9996","2 00053  47.2750 256.4834 0098534  22.2783 338.2245 12.17261326725541"
"THOR ABLESTAR R/B","1960-013B","106.431","1201.959","920.619","ROCKET BODY","US","1960-10-04","AFETR","LARGE","1 00059U 60013B   21271.47895829  .00000119  00000-0  37508-4 0  9997","2 00059  28.2509 334.0465 0189087 254.5122 103.4469 13.52987571  9678"
"SCOUT X-1 R/B","1961-004B","117.453","2500.440","632.423","ROCKET BODY","US","1961-02-16","WLPIS","MEDIUM","1 00082U 61004B   21271.30775695 -.00000080  00000-0 -33161-4 0  9994","2 00082  38.8565 265.9793 1175657 181.5693 178.1093 12.26019622865237"
"SCOUT X-1 DEB","1961-004C","101.254","1089.871","546.199","DEBRIS","US","1961-02-16","WLPIS","SMALL","1 00085U 61004C   21271.01340635  .00004194  00000-0  91666-3 0  9998","2 00085  38.7616 152.9037 0377751  18.8369 342.5942 14.22167020997647"
"THOR ABLE DEB (YO)","1960-002D","97.045","641.009","593.436","DEBRIS","US","1960-04-01","AFETR","SMALL","1   115U 60002D   21271.49505407  .00000356  00000-0  68946-4 0  9993","2   115  48.1661 183.1919 0034003 152.8227 207.4474 14.83842712282475"
"THOR ABLESTAR R/B","1961-015C","102.730","944.374","831.260","ROCKET BODY","US","1961-06-29","AFETR","LARGE","1 00118U 61015C   21271.43235906 -.00000001  00000-0  49966-4 0  9998","2 00118  66.7660  33.9344 0077839  41.2797 319.4136 14.01728731 74612"
"THOR ABLESTAR DEB","1961-015D","101.164","884.878","742.678","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   119U 61015D   21272.11467542  .00000181  00000-0  11069-3 0  9998","2   119  66.7289 172.4804 0098861  64.7293 296.4006 14.23430105113386"
"THOR ABLESTAR DEB","1961-015E","101.013","890.520","722.716","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   120U 61015E   21272.08961420  .00000142  00000-0  88941-4 0  9991","2   120  66.7054 236.1265 0116778 171.9040 188.3978 14.25558250103016"
"THOR ABLESTAR DEB","1961-015F","102.878","958.943","830.609","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   121U 61015F   21271.71876656 -.00000049  00000-0  19496-4 0  9993","2   121  66.7502   1.2797 0088227 130.8656 230.0116 13.99717355 85257"
"THOR ABLESTAR DEB","1961-015G","97.979","709.138","614.918","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   122U 61015G   21272.41993633  .00000967  00000-0  17508-3 0  9996","2   122  66.7525  22.2982 0066916 135.1833 225.4719 14.69699948160108"
"THOR ABLESTAR DEB","1961-015H","100.194","845.121","690.345","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   123U 61015H   21271.59721213  .00000144  00000-0  73800-4 0  9993","2   123  66.6859 324.6407 0108298  90.3511 271.0001 14.37210148132201"
"THOR ABLESTAR DEB","1961-015J","100.649","849.090","729.646","DEBRIS","US","1961-06-29","AFETR","SMALL","1   124U 61015J   21272.02595757  .00000218  00000-0  11216-3 0  9999","2   124  66.5424 119.2987 0083323 248.4818 110.7382 14.30707706112659"
"THOR ABLESTAR DEB","1961-015K","102.445","933.599","815.131","DEBRIS","US","1961-06-29","AFETR","SMALL","1   125U 61015K   21272.08118907  .00000053  00000-0  78571-4 0  9999","2   125  66.8749 272.4191 0081674 246.0906 113.1609 14.05630430 75569"
"THOR ABLESTAR DEB","1961-015L","100.243","813.400","726.748","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1 00126U 61015L   21271.49359163  .00000307  00000-0  13128-3 0  9993","2 00126  66.7145 351.9225 0060611  87.2575 273.5462 14.36504303116562"
"THOR ABLESTAR DEB","1961-015M","100.065","818.607","704.589","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   127U 61015M   21272.13210070  .00000352  00000-0  13736-3 0  9994","2   127  66.8309 202.4434 0079847 248.4815 110.7763 14.39063011118362"
"THOR ABLESTAR DEB","1961-015N","102.767","953.550","825.515","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   128U 61015N   21271.39543541 -.00000001  00000-0  50349-4 0  9998","2   128  66.6753 164.9200 0088085  57.5658 303.3906 14.01232446 74061"
"THOR ABLESTAR DEB","1961-015Q","102.949","956.332","839.948","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   130U 61015Q   21272.55010788 -.00000038  00000-0  27644-4 0  9994","2   130  66.7715 198.8921 0079975  55.4960 305.3642 13.98746849 71169"
"THOR ABLESTAR DEB","1961-015R","102.802","951.735","830.688","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   131U 61015R   21272.42416706  .00000011  00000-0  58513-4 0  9990","2   131  66.7346  72.5568 0083259 194.2460 165.6276 14.00746999 62713"
"THOR ABLESTAR DEB","1961-015S","103.274","973.425","853.461","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   132U 61015S   21272.41711444 -.00000019  00000-0  43471-4 0  9993","2   132  66.6585 266.2480 0082262 270.9648  88.2007 13.94345604 64091"
"THOR ABLESTAR DEB","1961-015T","101.522","865.504","795.981","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   133U 61015T   21272.21981538  .00000445  00000-0  25123-3 0  9990","2   133  67.1145 258.7376 0048220  71.0249 289.6063 14.18408441 89411"
"THOR ABLESTAR DEB","1961-015U","103.087","964.879","844.386","DEBRIS","US","1961-06-29","AFETR","LARGE","1 00134U 61015U   21271.46565987 -.00000029  00000-0  34081-4 0  9996","2 00134  66.8814 324.9423 0082725 349.3944  10.5390 13.96876780 65026"
"THOR ABLESTAR DEB","1961-015W","100.426","819.109","738.445","DEBRIS","US","1961-06-29","AFETR","SMALL","1   136U 61015W   21272.33490123  .00000403  00000-0  16994-3 0  9991","2   136  67.5323   5.0013 0056354 166.9214 193.3370 14.33884640109860"
"THOR ABLESTAR DEB","1961-015Y","102.720","907.597","867.059","DEBRIS","US","1961-06-29","AFETR","SMALL","1   138U 61015Y   21272.51543157  .00000154  00000-0  15074-3 0  9990","2   138  67.1574  10.4481 0027898  19.6833 340.5324 14.01870292 61738"
"THOR ABLESTAR DEB","1961-015AB","103.821","974.244","904.094","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   141U 61015AB  21272.09747702  .00000189  00000-0  22553-3 0  9997","2   141  66.5888 304.1118 0047934  93.8550 266.8007 13.86998942 33200"
"THOR ABLESTAR DEB","1961-015AE","103.584","957.014","899.013","DEBRIS","US","1961-06-29","AFETR","SMALL","1 00144U 61015AE  21271.46339178  .00000039  00000-0  94617-4 0  9999","2 00144  66.5010 325.7061 0039693   9.3107 350.8695 13.90176702 45071"
"THOR ABLESTAR DEB","1961-015AF","102.751","931.733","845.873","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   145U 61015AF  21272.44731371  .00000136  00000-0  13957-3 0  9995","2   145  66.9276 325.6482 0059076 129.0138 231.6229 14.01443364 75792"
"THOR ABLESTAR DEB","1961-015AH","101.458","870.357","785.034","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1 00147U 61015AH  21271.35312311  .00000067  00000-0  70491-4 0  9995","2 00147  66.6181 139.2382 0059204 204.2359 155.5946 14.19308232 89606"
"THOR ABLESTAR DEB","1961-015AJ","102.420","976.059","770.313","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1   148U 61015AJ  21272.13887327  .00000486  00000-0  31946-3 0  9993","2   148  65.7749 302.9537 0141868 120.7690 240.7445 14.05973408517027"
"THOR ABLESTAR DEB","1961-015AL","104.242","1005.859","911.971","DEBRIS","US","1961-06-29","AFETR","MEDIUM","1 00150U 61015AL  21271.47916333  .00000152  00000-0  21352-3 0  9992","2 00150  66.2485 183.8135 0063982 182.9916 177.0781 13.81403421870364"
